date,total_value,benchmark_value,benchmark_nasdaq_value
2026-07-27T00:00:00,1353998.0739523473,28069.340241085156,106167.95130212791
2026-07-28T00:00:00,1357855.8514798207,28224.906593013904,105483.24191830913
2026-07-29T00:00:00,1351267.1203056925,27780.299807095435,103252.4687879663
2026-07-30T00:00:00,1351935.5250668228,28032.798038784647,105934.23370364634
2026-07-31T00:00:00,1358033.18634347,27978.973789145704,105622.51408038661
2026-08-03T00:00:00,1381290.6940892986,28338.920058488846,107296.02748225816
2026-08-04T00:00:00,1406446.2726481997,28967.0781892502,111326.89799615834
2026-08-05T00:00:00,1405795.3604865053,28761.72773345257,109809.5800408218
2026-08-06T00:00:00,1403590.6387526384,28670.488991293823,109228.54864477413
2026-08-07T00:00:00,1411360.3359281057,28934.057663676213,110856.74890116323
2026-08-10T00:00:00,1411256.3299506612,28820.71245203633,110113.41483385116
2026-08-11T00:00:00,1411657.5117028672,28770.77597473678,109918.34614068549
2026-08-12T00:00:00,1411779.5386209907,28851.46226322651,110746.27221270418
2026-08-13T00:00:00,1420675.5395493044,29115.657629650552,112313.25795209408
2026-08-14T00:00:00,1417132.0303918547,29082.070988173597,112231.05013268441
2026-08-17T00:00:00,1417078.117151902,28813.17290861043,111588.81772670429
2026-08-18T00:00:00,1400783.0582628963,28618.73075655056,109727.01911390014
2026-08-19T00:00:00,1411728.5292988883,28759.70600937924,109793.18484082725
2026-08-20T00:00:00,1405014.8808361655,28232.557781616226,107936.78122560121
2026-08-21T00:00:00,1418037.29937135,28332.00995655032,108201.5700243488
2026-08-24T00:00:00,1417498.1198212155,28208.90025864262,106981.18031947315
2026-08-25T00:00:00,1420610.1776534591,28314.88201783737,107727.72879185155
2026-08-26T00:00:00,1418298.4491023798,28277.356497893576,107663.42304112948
2026-08-27T00:00:00,1428624.5260291463,28570.105859540403,109541.27440243214
2026-08-28T00:00:00,1444005.3841369567,28659.983283994254,109386.39538468607
2026-08-31T00:00:00,1432751.2754103965,28767.14652271534,110249.48508080235
2026-09-01T00:00:00,1418104.5195410221,28414.329317886615,108263.50643424224
2026-09-02T00:00:00,1418007.5144256835,28665.034543341142,108965.4544069455
2026-09-03T00:00:00,1413670.9252386712,28927.624967837473,110078.14044170268
2026-09-04T00:00:00,1412067.8136431016,28793.43342191656,109567.50205177628
